grapheme_id,language_id
-,komlitan
a,komlitan
ch,komlitan
e,komlitan
ei,komlitan
h,komlitan
i,komlitan
k,komlitan
m,komlitan
n,komlitan
ng,komlitan
o,komlitan
s,komlitan
t,komlitan
u,komlitan
ui,komlitan
Σ,komlitan
