form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,paradigm_tag,source,page,language_id
komlitan080,mu,3.sg.3.pl.fut.aff,a-mu-sik,a-Σ-sik,a+Σ+sik,a Σ s i k,a + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan081,mu,3.sg.3.pl.fut.aff,a-mu-sik-ke,a-Σ-sik-ke,a+Σ+sik+ke,a Σ s i k k e,a + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
komlitan082,mu,3.pl.3.sg.fut.aff,an-mu-sik,an-Σ-sik,a+n+Σ+sik,a n Σ s i k,a + n + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan083,mu,3.pl.3.sg.fut.aff,an-mu-sik-ke,an-Σ-sik-ke,a+n+Σ+sik+ke,a n Σ s i k k e,a + n + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
komlitan084,mu,3.pl.3.pl.fut.aff,an-mu-sik,an-Σ-sik,a+n+Σ+sik,a n Σ s i k,a + n + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan085,mu,3.pl.3.pl.fut.aff,an-mu-sik-ke,an-Σ-sik-ke,a+n+Σ+sik+ke,a n Σ s i k k e,a + n + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
komlitan086,che,1.sg.fut.neg,che-no-ning,Σ-no-ning,Σ+no+ni+ng,Σ n o n i ŋ,Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan087,che,1.pl.excl.fut.neg,che-no-ni-sing,Σ-no-ni-sing,Σ+no+ni+si+ng,Σ n o n i s i ŋ,Σ + n o + n i + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan088,che,1.pl.incl.fut.neg,che-no-ni-sing,Σ-no-ni-sing,Σ+no+ni+si+ng,Σ n o n i s i ŋ,Σ + n o + n i + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan089,mu,1.sg.2.sg.fut.neg,ni-mu-no-ning,ni-Σ-no-ning,ni+Σ+no+ni+ng,n i Σ n o n i ŋ,n i + Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan090,mu,1.sg.2.pl.fut.neg,ni-mu-no-ning,ni-Σ-no-ning,ni+Σ+no+ni+ng,n i Σ n o n i ŋ,n i + Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan091,mu,1.sg.3.pl.fut.neg,mu-no-ning,Σ-no-ning,Σ+no+ni+ng,Σ n o n i ŋ,Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan092,mu,1.pl.excl.2.sg.fut.neg,ni-mu-no-sing,ni-Σ-no-sing,ni+Σ+no+si+ng,n i Σ n o s i ŋ,n i + Σ + n o + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan093,mu,1.pl.excl.2.pl.fut.neg,ni-mu-no-sing,ni-Σ-no-sing,ni+Σ+no+si+ng,n i Σ n o s i ŋ,n i + Σ + n o + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan094,mu,1.sg.3.sg.fut.neg,mu-no-ning,Σ-no-ning,Σ+no+ni+ng,Σ n o n i ŋ,Σ + n o + n i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan095,mu,1.pl.excl.3.sg.fut.neg,mu-no-ni-sing,Σ-no-ni-sing,Σ+no+ni+si+ng,Σ n o n i s i ŋ,Σ + n o + n i + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan096,mu,1.pl.excl.3.sg.fut.neg,mu-no-sing,Σ-no-sing,Σ+no+si+ng,Σ n o s i ŋ,Σ + n o + s i + ŋ,informal,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan097,mu,1.pl.incl.3.sg.fut.neg,mu-no-ni-sing,Σ-no-ni-sing,Σ+no+ni+si+ng,Σ n o n i s i ŋ,Σ + n o + n i + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan098,mu,1.pl.excl.3.pl.fut.neg,mu-no-ni-sing,Σ-no-ni-sing,Σ+no+ni+si+ng,Σ n o n i s i ŋ,Σ + n o + n i + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan099,mu,1.pl.incl.3.pl.fut.neg,mu-no-ni-sing,Σ-no-ni-sing,Σ+no+ni+si+ng,Σ n o n i s i ŋ,Σ + n o + n i + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan100,che,2.sg.fut.neg,che-no-ni-che,Σ-no-ni-Σ,Σ+no+ni+che,Σ n o n i tʃ e,Σ + n o + n i + tʃ e,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan101,che,2.sg.fut.neg,che-no-ti-ni-che,Σ-no-ti-ni-Σ,Σ+no+ti+ni+che,Σ n o t i n i tʃ e,Σ + n o + t i + n i + tʃ e,dialect_var,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan102,che,2.pl.fut.neg,che-no-ni-cha-u,Σ-no-ni-cha-u,Σ+no+ni+cha+u,Σ n o n i tʃ a u,Σ + n o + n i + tʃ a + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan103,che,2.sg.1.sg.fut.neg,ni-mu-no-ni-che,ni-Σ-no-ni-Σ,ni+Σ+no+ni+che,n i Σ n o n i tʃ e,n i + Σ + n o + n i + tʃ e,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan104,che,2.sg.1.pl.excl.fut.neg,ni-mu-no-ni-che,ni-Σ-no-ni-Σ,ni+Σ+no+ni+che,n i Σ n o n i tʃ e,n i + Σ + n o + n i + tʃ e,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan105,mu,2.pl.1.sg.fut.neg,ni-mu-no-ni-cha-u,ni-Σ-no-ni-cha-u,ni+Σ+no+ni+cha+u,n i Σ n o n i tʃ a u,n i + Σ + n o + n i + tʃ a + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan106,mu,2.pl.1.sg.fut.neg,ni-mu-no-chu,ni-Σ-no-chu,ni+Σ+no+chu,n i Σ n o tʃ u,n i + Σ + n o + tʃ u,informal,fusion,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan107,mu,2.pl.1.pl.excl.fut.neg,ni-mu-no-cha-u,ni-Σ-no-cha-u,ni+Σ+no+cha+u,n i Σ n o tʃ a u,n i + Σ + n o + tʃ a + u,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan108,che,2.sg.3.sg.fut.neg,mu-no-ni-che,Σ-no-ni-Σ,Σ+no+ni+che,Σ n o n i tʃ e,Σ + n o + n i + tʃ e,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan109,che,2.sg.3.pl.fut.neg,mu-no-ni-che,Σ-no-ni-Σ,Σ+no+ni+che,Σ n o n i tʃ e,Σ + n o + n i + tʃ e,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
