form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,paradigm_tag,source,page,language_id
komlitan171,mu,1.sg.2.sg.nfut.neg,ni-mu-mak-eng,ni-Σ-mak-eng,ni+Σ+mak+eng,n i Σ m a k e ŋ,n i + Σ + m a k + e ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan172,mu,1.sg.2.pl.nfut.neg,ni-mu-mak-eng,ni-Σ-mak-eng,ni+Σ+mak+eng,n i Σ m a k e ŋ,n i + Σ + m a k + e ŋ,formal,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan173,mu,1.sg.2.pl.nfut.neg,ni-mu-ma-eng,ni-Σ-ma-eng,ni+Σ+ma+eng,n i Σ m a e ŋ,n i + Σ + m a + e ŋ,informal,fusion,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan174,mu,1.pl.excl.2.sg.nfut.neg,ni-mu-mak-sing,ni-Σ-mak-sing,ni+Σ+mak+si+ng,n i Σ m a k s i ŋ,n i + Σ + m a k + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan175,mu,1.pl.excl.2.pl.nfut.neg,ni-mu-mak-sing,ni-Σ-mak-sing,ni+Σ+mak+si+ng,n i Σ m a k s i ŋ,n i + Σ + m a k + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan176,mu,1.sg.3.sg.nfut.neg,mu-mak-eng,Σ-mak-eng,Σ+mak+eng,Σ m a k e ŋ,Σ + m a k + e ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan177,mu,1.sg.3.pl.nfut.neg,mu-mak-eng,Σ-mak-eng,Σ+mak+eng,Σ m a k e ŋ,Σ + m a k + e ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan178,mu,1.pl.excl.3.sg.nfut.neg,mu-mak-sing,Σ-mak-sing,Σ+mak+si+ng,Σ m a k s i ŋ,Σ + m a k + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan179,mu,1.pl.incl.3.sg.nfut.neg,mu-mak-sing,Σ-mak-sing,Σ+mak+si+ng,Σ m a k s i ŋ,Σ + m a k + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan180,mu,1.pl.excl.3.pl.nfut.neg,mu-mak-sing,Σ-mak-sing,Σ+mak+si+ng,Σ m a k s i ŋ,Σ + m a k + s i + ŋ,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
